date,price
1997-01-01,3.4305555555555554
1997-02-01,2.150526315789474
1997-03-01,1.8933333333333335
1997-04-01,2.0436363636363635
1997-05-01,2.251
1997-06-01,2.201363636363636
1997-07-01,2.193181818181818
1997-08-01,2.5039999999999996
1997-09-01,2.8922727272727267
1997-10-01,3.0736363636363637
1997-11-01,2.9821052631578957
1997-12-01,2.33952380952381
1998-01-01,2.091
1998-02-01,2.228947368421052
1998-03-01,2.2508695652173913
1998-04-01,2.4114285714285715
1998-05-01,2.1405000000000003
1998-06-01,2.1836363636363636
1998-07-01,2.1533333333333333
1998-08-01,1.8509090909090906
1998-09-01,2.040952380952381
1998-10-01,1.8923809523809525
1998-11-01,2.0870000000000006
1998-12-01,1.736666666666667
1999-01-01,1.8445
1999-02-01,1.7657894736842104
1999-03-01,1.804782608695652
1999-04-01,2.16
1999-05-01,2.263809523809524
1999-06-01,2.3018181818181813
1999-07-01,2.308
1999-08-01,2.7908695652173914
1999-09-01,2.530952380952381
1999-10-01,2.744285714285714
1999-11-01,2.339
1999-12-01,2.3645000000000005
2000-01-01,2.441
2000-02-01,2.6544999999999996
2000-03-01,2.7971428571428567
2000-04-01,3.0474999999999994
2000-05-01,3.6427272727272726
2000-06-01,4.287619047619048
2000-07-01,3.9800000000000004
2000-08-01,4.469565217391305
2000-09-01,5.074736842105264
2000-10-01,4.995217391304349
2000-11-01,5.631
2000-12-01,9.024736842105263
2001-01-01,8.065909090909091
2001-02-01,5.576315789473684
2001-03-01,5.2295238095238075
2001-04-01,5.161428571428572
2001-05-01,4.152727272727273
2001-06-01,3.7215
2001-07-01,3.1163636363636367
2001-08-01,2.9540909090909095
2001-09-01,2.1689999999999996
2001-10-01,2.515217391304348
2001-11-01,2.3084210526315787
2001-12-01,2.3021052631578938
2002-01-01,2.3159090909090914
2002-02-01,2.3357894736842106
2002-03-01,3.0745
2002-04-01,3.443181818181819
2002-05-01,3.484285714285715
2002-06-01,3.262380952380952
2002-07-01,2.9771428571428573
2002-08-01,3.0885714285714285
2002-09-01,3.59
2002-10-01,4.111739130434782
2002-11-01,4.041666666666667
2002-12-01,4.740952380952382
2003-01-01,5.432380952380952
2003-02-01,7.707894736842104
2003-03-01,5.886363636363637
2003-04-01,5.283333333333333
2003-05-01,5.8385
2003-06-01,5.791363636363635
2003-07-01,5.003181818181819
2003-08-01,4.9985
2003-09-01,4.613636363636362
2003-10-01,4.63409090909091
2003-11-01,4.498947368421053
2003-12-01,6.183000000000002
2004-01-01,6.138947368421054
2004-02-01,5.358999999999999
2004-03-01,5.422173913043477
2004-04-01,5.7035
2004-05-01,6.339047619047621
2004-06-01,6.246666666666667
2004-07-01,5.9305
2004-08-01,5.389565217391305
2004-09-01,5.1623809523809525
2004-10-01,6.4295238095238085
2004-11-01,6.155
2004-12-01,6.5665000000000004
2005-01-01,6.156190476190476
2005-02-01,6.156315789473683
2005-03-01,7.002727272727273
2005-04-01,7.137999999999998
2005-05-01,6.467272727272729
2005-06-01,7.212272727272725
2005-07-01,7.6795
2005-08-01,9.677391304347827
2005-09-01,11.772857142857143
2005-10-01,13.276666666666667
2005-11-01,10.393
2005-12-01,13.072499999999996
2006-01-01,8.687142857142858
2006-02-01,7.426315789473685
2006-03-01,6.9004545454545445
2006-04-01,7.132000000000001
2006-05-01,6.2322727272727265
2006-06-01,6.208095238095238
2006-07-01,6.292999999999999
2006-08-01,6.986521739130436
2006-09-01,4.877894736842105
2006-10-01,5.903478260869564
2006-11-01,7.467999999999999
2006-12-01,6.644736842105263
2007-01-01,6.614545454545455
2007-02-01,7.956315789473684
2007-03-01,7.10952380952381
2007-04-01,7.602380952380953
2007-05-01,7.634090909090909
2007-06-01,7.334999999999999
2007-07-01,6.217272727272726
2007-08-01,6.21909090909091
2007-09-01,6.079000000000001
2007-10-01,6.7873913043478264
2007-11-01,7.103
2007-12-01,7.1045
2008-01-01,7.9804545454545455
2008-02-01,8.578947368421055
2008-03-01,9.437142857142856
2008-04-01,10.215000000000002
2008-05-01,11.2995
2008-06-01,12.712272727272726
2008-07-01,10.896363636363635
2008-08-01,8.217000000000002
2008-09-01,7.66181818181818
2008-10-01,6.705909090909092
2008-11-01,6.6735
2008-12-01,5.7838095238095235
2009-01-01,5.2405
2009-02-01,4.514736842105263
2009-03-01,3.9421739130434776
2009-04-01,3.4823809523809524
2009-05-01,3.8604999999999996
2009-06-01,3.789999999999999
2009-07-01,3.3719047619047626
2009-08-01,3.105454545454545
2009-09-01,3.0128571428571425
2009-10-01,4.0600000000000005
2009-11-01,3.693333333333332
2009-12-01,5.397619047619049
2010-01-01,5.8055
2010-02-01,5.295263157894737
2010-03-01,4.242608695652175
2010-04-01,4.0495
2010-05-01,4.1519047619047615
2010-06-01,4.808181818181819
2010-07-01,4.631
2010-08-01,4.289565217391305
2010-09-01,3.8914285714285715
2010-10-01,3.422380952380952
2010-11-01,3.751428571428571
2010-12-01,4.25047619047619
2011-01-01,4.49
2011-02-01,4.0668421052631585
2011-03-01,3.990869565217391
2011-04-01,4.230526315789473
2011-05-01,4.325000000000001
2011-06-01,4.523636363636364
2011-07-01,4.4215
2011-08-01,4.049999999999999
2011-09-01,3.882
2011-10-01,3.562272727272726
2011-11-01,3.238571428571429
2011-12-01,3.1534999999999997
2012-01-01,2.6538095238095236
2012-02-01,2.511
2012-03-01,2.158571428571429
2012-04-01,1.9614285714285717
2012-05-01,2.429545454545455
2012-06-01,2.466
2012-07-01,2.9645454545454553
2012-08-01,2.821818181818182
2012-09-01,2.865
2012-10-01,3.330869565217392
