date,price
1997,2.484475806451612
1998,2.0883665338645407
1999,2.274120000000001
2000,4.3114859437751
2001,3.9591199999999986
2002,3.3756000000000026
2003,5.471160000000001
2004,5.89289156626506
2005,8.685892116182574
2006,6.731244979919681
2007,6.96718253968254
2008,8.862529644268777
2009,3.942658730158732
2010,4.369722222222219
2011,3.9963095238095225
2012,2.7544841269841265
2013,3.7312698412698446
2014,4.372698412698415
2015,2.6239843749999983
2016,2.5159770114942543
2017,2.9880308880308877
2018,3.152661290322578
2019,2.560919999999999
2020,1.8010457516339868
